word,rank,count,grade_hint,academic,pos,notes
cloud,730,,3,0,n,tier2_fry_filtered+fry_rank_730+grade3_week8_item1
save,736,,3,0,v,tier2_fry_filtered+fry_rank_736+grade3_week3_item1
engine,738,,3,0,n,tier2_fry_filtered+fry_rank_738+grade3_week11_item9
east,741,,3,0,n,tier2_fry_filtered+fry_rank_741+grade3_week5_item13
express,746,,3,0,n,tier2_fry_filtered+fry_rank_746+grade3_week6_item16
yard,748,,3,0,n,tier2_fry_filtered+fry_rank_748+grade3_week2_item12
decimal,750,,3,1,n,tier2_fry_filtered+fry_rank_750+grade3_week27_item15
party,759,,3,0,n,tier2_fry_filtered+fry_rank_759+grade3_week16_item10
choose,767,,3,0,n,tier2_fry_filtered+fry_rank_767+grade3_week15_item7
visit,769,,3,0,v,tier2_fry_filtered+fry_rank_769+grade3_week23_item16
whose,771,,3,0,det,tier2_fry_filtered+fry_rank_771+grade3_week25_item16
garden,773,,3,0,n,tier2_fry_filtered+fry_rank_773+grade3_week25_item4
child,784,,3,0,n,tier2_fry_filtered+fry_rank_784+grade3_week8_item2
desert,785,,3,0,n,tier2_fry_filtered+fry_rank_785+grade3_week21_item12
history,787,,3,0,adj,tier2_fry_filtered+fry_rank_787+grade3_week7_item12
uncle,793,,3,0,n,tier2_fry_filtered+fry_rank_793+grade3_week36_item11
hunting,794,,3,0,v,tier2_fry_filtered+fry_rank_794+grade3_week28_item7
lady,796,,3,0,n,tier2_fry_filtered+fry_rank_796+grade3_week7_item7
feeling,800,,3,0,v,tier2_fry_filtered+fry_rank_800+grade3_week31_item8
electric,803,,3,1,adj,tier2_fry_filtered+fry_rank_803+grade3_week4_item14
won't,812,,3,0,v,tier2_fry_filtered+fry_rank_812+grade3_week33_item10
board,816,,3,0,n,tier2_fry_filtered+fry_rank_816+grade3_week20_item9
wasn't,820,,3,0,v,tier2_fry_filtered+fry_rank_820+grade3_week33_item16
belong,823,,3,0,v,tier2_fry_filtered+fry_rank_823+grade3_week26_item8
safe,824,,3,0,adj,tier2_fry_filtered+fry_rank_824+grade3_week3_item5
trade,828,,3,0,n,tier2_fry_filtered+fry_rank_828+grade3_week4_item1
compare,830,,3,0,v,tier2_fry_filtered+fry_rank_830+grade3_week27_item14
thick,851,,3,0,adj,tier2_fry_filtered+fry_rank_851+grade3_week23_item1
blood,852,,3,0,n,tier2_fry_filtered+fry_rank_852+grade3_week18_item16
position,861,,3,0,n,tier2_fry_filtered+fry_rank_861+grade3_week22_item12
tied,864,,3,0,v,tier2_fry_filtered+fry_rank_864+grade3_week10_item2
stream,871,,3,0,n,tier2_fry_filtered+fry_rank_871+grade3_week5_item8
planets,872,,3,1,n,tier2_fry_filtered+fry_rank_872+grade3_week19_item14
science,875,,3,1,n,tier2_fry_filtered+fry_rank_875+grade3_week4_item15
tube,878,,3,0,n,tier2_fry_filtered+fry_rank_878+grade3_week31_item12
army,884,,3,0,n,tier2_fry_filtered+fry_rank_884+grade3_week25_item2
swim,888,,3,0,n,tier2_fry_filtered+fry_rank_888+grade3_week35_item2
terms,889,,3,0,n,tier2_fry_filtered+fry_rank_889+grade3_week21_item9
current,890,,3,0,adj,tier2_fry_filtered+fry_rank_890+grade3_week4_item13
shoulder,893,,3,0,n,tier2_fry_filtered+fry_rank_893+grade3_week9_item12
wife,899,,3,0,n,tier2_fry_filtered+fry_rank_899+grade3_week11_item4
sharp,900,,3,0,n,tier2_fry_filtered+fry_rank_900+grade3_week9_item7
we'll,903,,3,0,v,tier2_fry_filtered+fry_rank_903+grade3_week34_item1
action,904,,3,0,n,tier2_fry_filtered+fry_rank_904+grade3_week28_item5
settled,907,,3,0,v,tier2_fry_filtered+fry_rank_907+grade3_week27_item6
isn't,909,,3,0,v,tier2_fry_filtered+fry_rank_909+grade3_week33_item4
chance,916,,3,0,n,tier2_fry_filtered+fry_rank_916+grade3_week8_item6
born,917,,3,0,n,tier2_fry_filtered+fry_rank_917+grade3_week18_item2
church,925,,3,0,n,tier2_fry_filtered+fry_rank_925+grade3_week21_item3
sister,926,,3,0,n,tier2_fry_filtered+fry_rank_926+grade3_week35_item8
wrong,932,,3,0,adj,tier2_fry_filtered+fry_rank_932+grade3_week6_item9
especially,940,,3,0,adv,tier2_fry_filtered+fry_rank_940+grade3_week30_item5
shoes,941,,3,0,n,tier2_fry_filtered+fry_rank_941+grade3_week9_item11
actually,942,,3,0,adv,tier2_fry_filtered+fry_rank_942+grade3_week30_item3
sugar,946,,3,0,n,tier2_fry_filtered+fry_rank_946+grade3_week20_item1
office,949,,3,0,n,tier2_fry_filtered+fry_rank_949+grade3_week10_item9
gun,951,,3,0,n,tier2_fry_filtered+fry_rank_951+grade3_week5_item3
women,964,,3,0,n,tier2_fry_filtered+fry_rank_964+grade3_week8_item15
bought,965,,3,0,v,tier2_fry_filtered+fry_rank_965+grade3_week7_item2
match,972,,3,0,v,tier2_fry_filtered+fry_rank_972+grade3_week8_item7
steel,975,,3,0,n,tier2_fry_filtered+fry_rank_975+grade3_week8_item10
total,976,,3,0,adj,tier2_fry_filtered+fry_rank_976+grade3_week36_item1
smell,988,,3,0,n,tier2_fry_filtered+fry_rank_988+grade3_week18_item3
sir,995,,3,0,n,tier2_fry_filtered+fry_rank_995+grade3_week15_item2
sentence,122,,4,1,n,tier2_fry_filtered+fry_rank_122+grade4_week10_item8
complete,314,,4,0,adj,tier2_fry_filtered+fry_rank_314+grade4_week2_item4
since,317,,4,0,conj,tier2_fry_filtered+fry_rank_317+grade4_week2_item7
piece,319,,4,0,n,tier2_fry_filtered+fry_rank_319+grade4_week2_item9
usually,321,,4,0,adv,tier2_fry_filtered+fry_rank_321+grade4_week3_item1
