word,rank,count,grade_hint,academic,pos,notes
erupt,3348,1539,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
escort,3349,1461,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
evacuate,3353,1045,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
eve,3354,1613,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
evenly,3355,1576,9,0,adv,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
evoke,3356,1154,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
exaggerate,3357,1708,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
excavate,3358,1403,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
exclaim,3359,1306,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
exclusion,3360,1704,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
exempt,3361,2358,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
exert,3362,1456,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
exile,3363,1663,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
exotic,3365,1203,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
expedition,3366,1500,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
explode,3368,1743,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
eyebrow,3369,1260,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
faction,3370,1604,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
